metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
osl_mismatch_diff_pct_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
http_req_waiting_min,271.56,6.76,266.77,276.34,0.0249,4.7821,210.79,332.32,12.7062,ms
effective_prefill_throughput_p90,45782.29,2455.58,44045.93,47518.65,0.0536,1736.3594,23719.75,67844.83,12.7062,tokens/sec
http_req_chunks_sent_min,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
usage_prompt_tokens_p75,1064.00,0.00,1064.00,1064.00,0.0000,0.0000,1064.00,1064.00,12.7062,tokens
http_req_chunks_received_max,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,count
http_req_chunks_received_std,3.19,0.20,3.05,3.33,0.0622,0.1405,1.41,4.98,12.7062,count
request_latency_p1,7012.60,1.70,7011.40,7013.80,0.0002,1.2020,6997.33,7027.87,12.7062,ms
output_token_count_p25,242.38,9.37,235.75,249.00,0.0387,6.6250,158.20,326.55,12.7062,tokens
http_req_receiving_max,6997.75,2.31,6996.12,6999.39,0.0003,1.6364,6976.96,7018.55,12.7062,ms
time_to_first_token_p1,290.12,3.28,287.80,292.44,0.0113,2.3199,260.64,319.60,12.7062,ms
time_to_second_token_std,132.84,0.08,132.78,132.90,0.0006,0.0577,132.11,133.58,12.7062,ms
usage_total_tokens_p10,1576.00,0.00,1576.00,1576.00,0.0000,0.0000,1576.00,1576.00,12.7062,tokens
output_token_count_p95,397.25,1.77,396.00,398.50,0.0045,1.2500,381.37,413.13,12.7062,tokens
output_token_throughput_per_user_p90,85.62,1.50,84.56,86.68,0.0175,1.0604,72.14,99.09,12.7062,tokens/sec/user
usage_total_tokens_avg,1576.11,0.00,1576.11,1576.11,0.0000,0.0000,1576.11,1576.11,12.7062,tokens
usage_prompt_cache_read_tokens_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
reasoning_token_count_min,73.00,4.24,70.00,76.00,0.0581,3.0000,34.88,111.12,12.7062,tokens
active_prefill_throughput_min,696.35,6.01,692.10,700.61,0.0086,4.2528,642.32,750.39,12.7062,tokens/sec
http_req_blocked_p10,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_connecting_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
usage_reasoning_tokens_avg,247.00,1.30,246.08,247.92,0.0053,0.9191,235.32,258.67,12.7062,tokens
http_req_dns_lookup_p75,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
tokens_in_flight_avg,81502.04,148.17,81397.27,81606.81,0.0018,104.7699,80170.82,82833.27,12.7062,tokens
usage_total_tokens_p50,1576.00,0.00,1576.00,1576.00,0.0000,0.0000,1576.00,1576.00,12.7062,tokens
active_decode_throughput_per_user_avg,70.90,0.02,70.88,70.91,0.0003,0.0149,70.71,71.09,12.7062,tokens/sec/user
usage_prompt_tokens_p99,1065.00,0.00,1065.00,1065.00,0.0000,0.0000,1065.00,1065.00,12.7062,tokens
prefill_throughput_per_user_p75,1309.05,2.39,1307.36,1310.74,0.0018,1.6889,1287.59,1330.51,12.7062,tokens/sec/user
http_req_sending_p75,0.14,0.00,0.14,0.14,0.0026,0.0003,0.13,0.14,12.7062,ms
nvidia_energy_delay_product_avg,765.97,0.77,765.43,766.52,0.0010,0.5480,759.01,772.94,12.7062,J*s
usage_reasoning_tokens_p50,209.50,2.83,207.50,211.50,0.0135,2.0000,184.09,234.91,12.7062,tokens
tokens_in_flight_p50,80696.62,204.43,80552.07,80841.17,0.0025,144.5512,78859.92,82533.32,12.7062,tokens
active_decode_throughput_per_user_p50,87.93,0.05,87.90,87.97,0.0006,0.0364,87.47,88.40,12.7062,tokens/sec/user
osl_mismatch_diff_pct_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
e2e_output_token_throughput_sum,189312.59,111.43,189233.80,189391.39,0.0006,78.7955,188311.40,190313.78,12.7062,tokens/sec/user
http_req_data_sent_p75,4.71,0.00,4.71,4.71,0.0000,0.0000,4.71,4.71,12.7062,KB
credit_to_start_latency_min,0.89,0.01,0.88,0.89,0.0112,0.0070,0.80,0.98,12.7062,ms
effective_decode_concurrency_avg,55.17,0.30,54.96,55.38,0.0055,0.2128,52.47,57.87,12.7062,requests
http_req_chunks_received_p90,510.00,0.00,510.00,510.00,0.0000,0.0000,510.00,510.00,12.7062,count
prefill_throughput_per_user_p99,3667.92,41.16,3638.82,3697.03,0.0112,29.1067,3298.09,4037.76,12.7062,tokens/sec/user
nvidia_total_gpu_power_avg,923.90,0.06,923.85,923.94,0.0001,0.0416,923.37,924.42,12.7062,W
time_to_second_token_p90,336.84,0.55,336.45,337.23,0.0016,0.3902,331.88,341.80,12.7062,ms
usage_completion_tokens_p75,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
usage_total_tokens_max,1577.00,0.00,1577.00,1577.00,0.0000,0.0000,1577.00,1577.00,12.7062,tokens
http_req_sending_p99,2.47,0.00,2.46,2.47,0.0020,0.0035,2.42,2.51,12.7062,ms
input_sequence_length_p10,1064.00,0.00,1064.00,1064.00,0.0000,0.0000,1064.00,1064.00,12.7062,tokens
http_req_duration_p10,7259.90,1.43,7258.89,7260.91,0.0002,1.0089,7247.08,7272.72,12.7062,ms
usage_total_tokens_std,0.37,0.00,0.37,0.37,0.0000,0.0000,0.37,0.37,12.7062,tokens
output_token_throughput_avg,4503.39,2.62,4501.54,4505.24,0.0006,1.8540,4479.83,4526.95,12.7062,tokens/sec
usage_prompt_cache_read_tokens_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
effective_decode_concurrency_p50,64.00,0.00,64.00,64.00,0.0000,0.0000,64.00,64.00,12.7062,requests
http_req_duration_avg,7271.14,4.17,7268.19,7274.09,0.0006,2.9460,7233.71,7308.57,12.7062,ms
http_req_connecting_p75,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_prefill_concurrency_avg,8.78,0.30,8.57,9.00,0.0342,0.2124,6.09,11.48,12.7062,requests
usage_reasoning_tokens_max,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
tokens_in_flight_max,100691.58,3.53,100689.08,100694.07,0.0000,2.4932,100659.90,100723.26,12.7062,tokens
active_decode_throughput_per_user_max,6354.67,8663.58,228.60,12480.75,1.3633,6126.0754,-71484.49,84193.84,12.7062,tokens/sec/user
http_req_data_sent_p99,4.91,0.00,4.91,4.91,0.0000,0.0000,4.91,4.91,12.7062,KB
tokens_in_flight_std,10456.45,99.65,10385.99,10526.91,0.0095,70.4597,9561.17,11351.73,12.7062,tokens
active_decode_throughput_per_user_std,34.10,0.13,34.00,34.19,0.0038,0.0927,32.92,35.27,12.7062,tokens/sec/user
http_req_blocked_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_duration_p50,7271.10,5.31,7267.35,7274.86,0.0007,3.7544,7223.40,7318.81,12.7062,ms
usage_completion_tokens_p99,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
output_token_count_sum,712329.50,3493.81,709859.00,714800.00,0.0049,2470.5000,680938.82,743720.18,12.7062,tokens
effective_prefill_concurrency_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,requests
http_req_connection_overhead_p25,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_connection_overhead_p95,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_latency_sum,19552458.77,11463.35,19544352.96,19560564.58,0.0006,8105.8094,19449464.70,19655452.85,12.7062,ms
http_req_connecting_p99,2.26,0.02,2.25,2.27,0.0068,0.0108,2.12,2.39,12.7062,ms
http_req_chunks_received_p75,510.00,0.00,510.00,510.00,0.0000,0.0000,510.00,510.00,12.7062,count
effective_decode_concurrency_max,64.00,0.00,64.00,64.00,0.0000,0.0000,64.00,64.00,12.7062,requests
active_prefill_throughput_per_user_p99,2481.89,351.98,2233.00,2730.78,0.1418,248.8908,-680.56,5644.35,12.7062,tokens/sec/user
effective_decode_concurrency_std,18.53,0.67,18.05,19.00,0.0363,0.4750,12.49,24.56,12.7062,requests
time_to_second_token_p75,334.63,0.15,334.53,334.74,0.0004,0.1046,333.30,335.96,12.7062,ms
http_req_receiving_p75,6436.67,1.55,6435.57,6437.76,0.0002,1.0938,6422.77,6450.57,12.7062,ms
effective_decode_throughput_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec
http_req_dns_lookup_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_duration_max,7892.10,0.38,7891.83,7892.37,0.0000,0.2698,7888.67,7895.53,12.7062,ms
input_sequence_length_std,0.37,0.00,0.37,0.37,0.0000,0.0000,0.37,0.37,12.7062,tokens
http_req_duration_std,69.10,11.49,60.98,77.23,0.1662,8.1233,-34.11,172.32,12.7062,ms
output_sequence_length_p5,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
output_token_throughput_per_user_p5,76.65,0.02,76.63,76.66,0.0003,0.0160,76.45,76.85,12.7062,tokens/sec/user
effective_prefill_concurrency_max,64.00,0.00,64.00,64.00,0.0000,0.0000,64.00,64.00,12.7062,requests
effective_prefill_throughput_per_user_avg,225.78,9.41,219.12,232.43,0.0417,6.6571,141.19,310.36,12.7062,tokens/sec/user
e2e_output_token_throughput_min,64.87,0.00,64.87,64.88,0.0000,0.0022,64.85,64.90,12.7062,tokens/sec/user
active_decode_throughput_per_user_p90,89.92,0.07,89.87,89.96,0.0008,0.0480,89.31,90.53,12.7062,tokens/sec/user
http_req_chunks_received_p99,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,count
http_req_blocked_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_receiving_p99,6980.91,8.76,6974.71,6987.10,0.0013,6.1918,6902.23,7059.58,12.7062,ms
effective_prefill_throughput_per_user_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec/user
output_token_throughput_per_user_p1,73.20,0.09,73.14,73.26,0.0013,0.0648,72.38,74.02,12.7062,tokens/sec/user
nvidia_energy_per_user_avg,4424.89,1.74,4423.66,4426.12,0.0004,1.2302,4409.26,4440.52,12.7062,joules/user
osl_mismatch_diff_pct_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
http_req_data_received_p25,129.08,0.02,129.07,129.10,0.0001,0.0127,128.92,129.25,12.7062,KB
http_req_connecting_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
usage_prompt_tokens_p25,1064.00,0.00,1064.00,1064.00,0.0000,0.0000,1064.00,1064.00,12.7062,tokens
usage_total_tokens_p75,1576.00,0.00,1576.00,1576.00,0.0000,0.0000,1576.00,1576.00,12.7062,tokens
usage_prompt_tokens_p95,1065.00,0.00,1065.00,1065.00,0.0000,0.0000,1065.00,1065.00,12.7062,tokens
time_to_first_token_p10,605.04,2.86,603.02,607.06,0.0047,2.0197,579.37,630.70,12.7062,ms
output_token_count_min,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,tokens
effective_latency_p10,7263.80,2.16,7262.27,7265.33,0.0003,1.5303,7244.35,7283.24,12.7062,ms
request_latency_avg,7270.43,4.50,7267.25,7273.61,0.0006,3.1798,7230.03,7310.84,12.7062,ms
http_req_connection_overhead_sum,189.92,6.71,185.17,194.66,0.0353,4.7446,129.63,250.20,12.7062,ms
time_to_first_token_avg,998.74,34.73,974.18,1023.30,0.0348,24.5591,686.69,1310.79,12.7062,ms
input_sequence_length_p90,1065.00,0.00,1065.00,1065.00,0.0000,0.0000,1065.00,1065.00,12.7062,tokens
http_req_duration_p90,7285.75,11.53,7277.60,7293.91,0.0016,8.1524,7182.17,7389.34,12.7062,ms
effective_prefill_throughput_per_user_max,3770.99,37.74,3744.30,3797.67,0.0100,26.6869,3431.90,4110.07,12.7062,tokens/sec/user
effective_prefill_throughput_per_user_std,460.28,16.05,448.93,471.63,0.0349,11.3474,316.10,604.46,12.7062,tokens/sec/user
usage_prompt_cache_read_tokens_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
osl_mismatch_diff_pct_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
request_latency_p50,7271.08,5.31,7267.33,7274.84,0.0007,3.7538,7223.39,7318.78,12.7062,ms
time_to_first_token_p50,1045.23,151.34,938.22,1152.24,0.1448,107.0100,-314.47,2404.92,12.7062,ms
usage_total_tokens_p99,1577.00,0.00,1577.00,1577.00,0.0000,0.0000,1577.00,1577.00,12.7062,tokens
prefill_throughput_per_user_p95,1767.35,2.73,1765.42,1769.28,0.0015,1.9281,1742.85,1791.85,12.7062,tokens/sec/user
http_req_chunks_received_p1,498.44,0.62,498.00,498.87,0.0012,0.4350,492.91,503.96,12.7062,count
http_req_sending_p25,0.07,0.00,0.07,0.08,0.0197,0.0010,0.06,0.09,12.7062,ms
time_to_second_token_p1,10.20,0.09,10.14,10.26,0.0085,0.0611,9.42,10.97,12.7062,ms
http_req_sending_p95,0.15,0.00,0.15,0.15,0.0006,0.0001,0.15,0.15,12.7062,ms
http_req_total_p25,7266.38,4.51,7263.19,7269.57,0.0006,3.1856,7225.90,7306.86,12.7062,ms
usage_prompt_cache_read_tokens_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
usage_reasoning_tokens_p99,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
tokens_in_flight_p99,100266.74,0.18,100266.61,100266.87,0.0000,0.1285,100265.11,100268.37,12.7062,tokens
http_req_total_p95,7361.26,85.25,7300.98,7421.55,0.0116,60.2844,6595.28,8127.25,12.7062,ms
active_decode_throughput_per_user_p99,91.60,0.13,91.51,91.69,0.0014,0.0921,90.43,92.77,12.7062,tokens/sec/user
http_req_data_sent_p25,4.54,0.00,4.54,4.54,0.0000,0.0000,4.54,4.54,12.7062,KB
http_req_chunks_sent_p5,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
time_to_first_output_token_sum,9736615.92,142926.34,9635551.73,9837680.10,0.0147,101064.1853,8452473.69,11020758.15,12.7062,ms
http_req_data_sent_p95,4.86,0.00,4.86,4.86,0.0000,0.0000,4.86,4.86,12.7062,KB
request_latency_max,7892.22,0.38,7891.95,7892.49,0.0000,0.2677,7888.82,7895.62,12.7062,ms
input_sequence_length_p75,1064.00,0.00,1064.00,1064.00,0.0000,0.0000,1064.00,1064.00,12.7062,tokens
http_req_duration_p75,7275.21,4.82,7271.81,7278.62,0.0007,3.4059,7231.94,7318.49,12.7062,ms
time_to_first_token_max,1542.39,11.24,1534.44,1550.34,0.0073,7.9504,1441.37,1643.41,12.7062,ms
time_to_first_token_std,278.17,26.32,259.56,296.78,0.0946,18.6113,41.69,514.65,12.7062,ms
effective_latency_std,69.08,11.51,60.94,77.22,0.1666,8.1389,-34.33,172.49,12.7062,ms
reasoning_token_count_p5,116.67,2.37,115.00,118.35,0.0203,1.6750,95.39,137.96,12.7062,tokens
effective_decode_concurrency_p99,64.00,0.00,64.00,64.00,0.0000,0.0000,64.00,64.00,12.7062,requests
http_req_chunks_sent_p1,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
osl_mismatch_count_avg,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,requests
http_req_data_received_sum,347125.95,34.76,347101.38,347150.53,0.0001,24.5781,346813.66,347438.25,12.7062,KB
active_prefill_throughput_per_user_p95,1428.84,133.70,1334.30,1523.37,0.0936,94.5372,227.63,2630.05,12.7062,tokens/sec/user
http_req_blocked_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_duration_p99,7506.00,83.40,7447.03,7564.98,0.0111,58.9724,6756.69,8255.32,12.7062,ms
http_req_connection_overhead_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
